Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration (in mins),Rating,Genre,Director,Cast,Rank
Move to Heaven,14-May-21,2021,Netflix,Friday,10,52,9.2,"Life,  Drama,  Family ",Kim Sung Ho,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik",#1
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",2020,tvN," Wednesday, Thursday",16,70,9.1,"Thriller,  Romance,  Crime,  Melodrama ","Kim Chul Gyu, Yoon Jong Ho","Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",#2
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",2020,"Netflix,  tvN ",Thursday,12,90,9.1,"Friendship,  Romance,  Life,  Medical ",Shin Won Ho,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",#3
Hospital Playlist 2,"Jun 17, 2021 - Sep 16, 2021",2021,"Netflix,  tvN ",Thursday,12,100,9.1,"Friendship,  Romance,  Life,  Medical ",Shin Won Ho,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",#4
My Mister,"Mar 21, 2018 - May 17, 2018",2018,tvN," Wednesday, Thursday",16,77,9.1,"Psychological,  Life,  Drama,  Family ","Kim Won Suk, Kim Sang Woo","Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",#5
Reply 1988,"Nov  6, 2015 - Jan 16, 2016",2015,tvN," Friday, Saturday",20,100,9.1,"Comedy,  Romance,  Youth,  Family ","Shin Won Ho, Yoo Hak Chan","Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",#6
Weak Hero Class 1,18-Nov-22,2022,Wavve,Friday,8,40,9.1,"Action, Youth, Drama",You Su Min,"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",#7
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",2017,"Netflix,  tvN "," Wednesday, Thursday",16,92,9.1,"Comedy,  Crime,  Life,  Drama ",Shin Won Ho,"Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",#8
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",2022,"Netflix, tvN","Saturday, Sunday",20,80,9,"Action, Historical, Romance, Fantasy ",Park Joon Hwa,"Lee Jae Wook, Jung So Min, Hwang Hyun Min, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra",#9
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",2022,"ENA, Netflix","Wednesday, Thursday",16,77,9,"Law, Romance, Life, Drama ",Yoo In Shik,"Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung",#10
Mr. Queen,"Dec 12, 2020 - Feb 14, 2021",2020,tvN," Saturday, Sunday",20,80,9,"Historical,  Mystery,  Comedy,  Romance ",Yoon Sung Shik,"Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah",#11
Mother,"Jan 24, 2018 - Mar 15, 2018",2018,tvN," Wednesday, Thursday",16,63,9,"Thriller,  Mystery,  Psychological,  Melodrama ","Kim Chul Gyu, Yoon Hyun Gi","Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",#12
It's Okay to Not Be Okay,"Jun 20, 2020 - Aug  9, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,75,9,"Psychological,  Comedy,  Romance,  Drama ","Park Shin Woo, Jung Dong Yoon","Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan",#13
Crash Landing on You,"Dec 14, 2019 - Feb 16, 2020",2019,"Netflix,  tvN "," Sunday, Saturday",16,85,9,"Military,  Comedy,  Romance,  Political ",Lee Jeong Hyo,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young",#14
Vincenzo,"Feb 20, 2021 - May  2, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",20,85,9,"Comedy,  Law,  Crime,  Drama ",Kim Hee Won,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",#15
Navillera,"Mar 22, 2021 - Apr 27, 2021",2021,"Netflix,  tvN "," Monday, Tuesday",12,65,9,"Friendship,  Life,  Drama,  Family ",Han Dong Hwa,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye",#16
Signal,"Jan 22, 2016 - Mar 12, 2016",2016,tvN," Friday, Saturday",16,75,9,"Thriller,  Mystery,  Sci-Fi ",Kim Won Suk,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung",#17
Mr. Sunshine,"Jul  7, 2018 - Sep 30, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",24,85,8.9,"Military,  Historical,  Romance,  Melodrama ",Lee Eung Bok,"Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo",#18
Happiness,"Nov  5, 2021 - Dec 11, 2021",2021,tvN," Friday, Saturday",12,65,8.9,"Action,  Thriller,  Drama,  Fantasy ",Ahn Gil Ho,"Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin",#19
Kingdom: Season 2,13-Mar-20,2020,Netflix,Friday,6,45,8.9,"Thriller,  Historical,  Horror,  Supernatural ","Kim Sung Hoon, Park In Je","Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho",#20
SKY Castle,"Nov 23, 2018 - Feb  1, 2019",2018,jTBC," Friday, Saturday",20,75,8.9,"Mystery,  Psychological,  Drama,  Family ",Jo Hyun Taek,"Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho",#21
Tomorrow,"Apr 1, 2022 - May 21, 2022",2022,"MBC, Netflix","Friday, Saturday",16,60,8.9,"Action, Thriller, Drama, Fantasy ","Kim Tae Yoon, Sung Chi Wook","Kim Hee Sun, Rowoon, Lee Soo Hyuk, Yun Ji On, Kim Hae Sook, Kim Nu Ri",#22
Healer,"Dec  8, 2014 - Feb 10, 2015",2014,KBS2," Monday, Tuesday",20,60,8.9,"Action,  Thriller,  Mystery,  Romance ","Lee Jung Sub, Kim Jin Woo","Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won",#23
Stranger,"Jun 10, 2017 - Jul 30, 2017",2017,"Netflix,  tvN "," Saturday, Sunday",16,70,8.9,"Thriller,  Mystery,  Law,  Drama ",Ahn Gil Ho,"Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong",#24
Twenty-Five Twenty-One,"Feb 12, 2022 - Apr 3, 2022",2022,"Netflix, tvN","Saturday, Sunday",16,75,8.8,"Romance, Life, Drama, Melodrama ","Jung Ji Hyun, Kim Seung Ho","Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee",#25
The Red Sleeve,"Nov 12, 2021 - Jan 1, 2022",2021,"MBC, Viki","Friday, Saturday",17,80,8.8,"Historical, Romance, Drama, Melodrama ","Jung Ji In, Song Yeon Hwa","Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin",#26
Goblin,"Dec  2, 2016 - Jan 21, 2017",2016,tvN," Friday, Saturday",16,82,8.8,"Comedy,  Romance,  Fantasy,  Melodrama ",Lee Eung Bok,"Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El",#27
The Uncanny Counter,"Nov 28, 2020 - Jan 24, 2021",2020,"Netflix,  OCN "," Saturday, Sunday",16,70,8.8,"Action,  Mystery,  Drama,  Supernatural ",Yoo Seon Dong,"Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae",#28
Mouse,"Mar  3, 2021 - May 19, 2021",2021,tvN," Wednesday, Thursday",20,75,8.7,"Thriller,  Mystery,  Sci-Fi ","Choi Joon Bae, Kang Cheol Woo","Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook",#29
Kingdom,25-Jan-19,2019,Netflix,Friday,6,51,8.8,"Thriller,  Historical,  Horror,  Political ",Kim Sung Hoon,"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho",#30
Weightlifting Fairy Kim Bok Joo,"Nov 16, 2016 - Jan 11, 2017",2016,MBC," Wednesday, Thursday",16,60,8.8,"Comedy,  Romance,  Youth,  Sports ","Oh Hyun Jong, Nam Sung Woo","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young",#31
D.P.,27-Aug-21,2021,Netflix,Friday,6,50,8.8,"Action,  Military,  Comedy,  Drama ",Han Jun Hee,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul",#32
The Devil Judge,"Jul  3, 2021 - Aug 22, 2021",2021,tvN," Saturday, Sunday",16,70,8.8,"Mystery,  Law,  Crime,  Drama ",Choi Jung Gyu,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung",#33
The Penthouse,"Oct 26, 2020 - Jan  5, 2021",2020,SBS," Monday, Tuesday",21,85,8.8,"Thriller,  Mystery,  Drama,  Family ",Joo Dong Min,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung",#34
Youth of May,"May  3, 2021 - Jun  8, 2021",2021,KBS2," Monday, Tuesday",12,70,8.8,"Historical,  Romance,  Drama,  Melodrama ","Song Min Yeop, Lee Dae Kyung","Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub",#35
Taxi Driver,"Apr  9, 2021 - May 29, 2021",2021,SBS," Friday, Saturday",16,65,8.8,"Action,  Thriller,  Mystery,  Drama ",Park Joon Woo,"Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin",#36
Life on Mars,"Jun  9, 2018 - Aug  5, 2018",2018,OCN," Saturday, Sunday",16,65,8.8,"Action,  Mystery,  Comedy,  Supernatural ",Lee Jeong Hyo,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho",#37
Beyond Evil,"Feb 19, 2021 - Apr 10, 2021",2021,jTBC," Friday, Saturday",16,65,8.8,"Thriller,  Mystery,  Psychological,  Drama ",Shim Na Yeon,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho",#38
Racket Boys,"May 31, 2021 - Aug  9, 2021",2021,"Netflix,  SBS "," Monday, Tuesday",16,75,8.8,"Friendship,  Comedy,  Youth,  Sports ",Jo Young Kwang,"Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon",#39
Hometown Cha-Cha-Cha,"Aug 28, 2021 - Oct 17, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",16,80,8.8,"Comedy,  Romance,  Life ",Yoo Je Won,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun",#40
Six Flying Dragons,"Oct  5, 2015 - Mar 22, 2016",2015,SBS," Monday, Tuesday",50,60,8.8,"Action,  Historical,  Drama,  Political ",Shin Kyung Soo,"Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin",#41
Our Beloved Summer,"Dec 6, 2021 - Jan 25, 2022",2021,"Netflix, SBS","Monday, Tuesday",16,60,8.7,"Romance, Life, Youth, Drama ",Kim Yoon Jin,"Choi Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo",#42
The Guest,"Sep 12, 2018 - Nov  1, 2018",2018,OCN," Wednesday, Thursday",16,67,8.8,"Thriller,  Mystery,  Horror,  Supernatural ",Kim Hong Seon,"Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang",#43
Dear My Friends,"May 13, 2016 - Jul  2, 2016",2016,tvN," Friday, Saturday",16,70,8.7,"Life,  Drama,  Family,  Melodrama ",Hong Jong Chan,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung",#44
While You Were Sleeping,"Sep 27, 2017 - Nov 16, 2017",2017,SBS," Wednesday, Thursday",32,30,8.7,"Mystery,  Romance,  Drama,  Fantasy ","Oh Choong Hwan, Park Soo Jin","Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha",#45
The Penthouse 2,"Feb 19, 2021 - Apr  2, 2021",2021,SBS," Friday, Saturday",13,75,8.8,"Thriller,  Mystery,  Drama,  Family ",Joo Dong Min,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung",#46
Chicago Typewriter,"Apr  7, 2017 - Jun  3, 2017",2017,tvN," Friday, Saturday",16,70,8.7,"Comedy,  Romance,  Supernatural,  Political ",Kim Chul Gyu,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra",#47
18 Again,"Sep 21, 2020 - Nov 10, 2020",2020,jTBC," Monday, Tuesday",16,70,8.7,"Romance,  Life,  Drama,  Fantasy ",Ha Byung Hoon,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",#48
Arthdal Chronicles Part 2,"Jun 22, 2019 - Jul  7, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,81,8.7,"Historical,  Romance,  Fantasy,  Political ",Kim Won Suk,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon",#49
Arthdal Chronicles Part 3,"Sep  7, 2019 - Sep 22, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,80,8.7,"Historical,  Romance,  Fantasy,  Political ",Kim Won Suk,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika",#50
Through the Darkness,"Jan 14, 2022 - Mar 12, 2022",2022,SBS,"Friday, Saturday",12,70,8.7,"Thriller, Mystery, Crime, Drama ","Kim Jae Hong, Park Bo Ram","Kim Nam Gil, Jin Seon Kyu, Kim So Jin, Ryeoun, Lee Dae Yeon, Kim Won Hae",#51
Dr. Romantic 2,"Jan  6, 2020 - Feb 25, 2020",2020,SBS," Monday, Tuesday",16,70,8.7,"Romance,  Drama,  Medical,  Melodrama ","Yoo In Shik, Lee Gil Bok","Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon",#52
Defendant,"Jan 23, 2017 - Mar 21, 2017",2017,SBS," Monday, Tuesday",18,70,8.7,"Thriller,  Mystery,  Law,  Drama ","Jo Young Kwang, Jung Dong Yoon","Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu",#53
Our Blues,"Apr 9, 2022 - Jun 12, 2022",2022,"Netflix, tvN","Saturday, Sunday",20,70,8.7,"Romance, Life, Drama, Melodrama","Kim Kyu Tae, Lee Jung Mook","Lee Byung Hun, Shin Min Ah, Cha Seung Won, Lee Jung Eun, Uhm Jung Hwa, Han Ji Min",#54
Sweet Home,18-Dec-20,2020,Netflix,Friday,10,52,8.7,"Horror,  Drama,  Sci-Fi,  Supernatural ",Lee Eung Bok,"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si",#55
"Kill Me, Heal Me","Jan  7, 2015 - Mar 12, 2015",2015,MBC," Wednesday, Thursday",20,62,8.7,"Psychological,  Comedy,  Romance,  Drama ","Kim Jin Man, Kim Dae Jin","Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae",#56
Moon Lovers,"Aug 29, 2016 - Nov  1, 2016",2016,SBS," Monday, Tuesday",20,60,8.7,"Historical,  Romance,  Melodrama ",Kim Kyu Tae,"Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun",#57
A Business Proposal,"Feb 28, 2022 - Apr 5, 2022",2022,"Netflix, SBS","Monday, Tuesday",12,60,8.7,"Comedy, Romance, Drama",Park Seon Ho,"Shin Ha Ri is a single woman and works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place in a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on the blind date as Jin Young Seo, while having the intention to get rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Mu. He is the CEO of the company where she works. Kang Tae Mu is the CEO of a company that his grandfather founded. One day, his grandfather informed him of an upcoming blind date that he set up for him. Kang Tae Mu is a workaholic and he is annoyed that his grandfather sets up blind dates for him. He decides to marry the next woman whom he meets at a blind date, so he won't be disturbed from his work anymore. That woman is Shin Ha Ri, but pretending to be Jin Young Seo. On the following day, Shin Ha Ri receives a phone call from Kang Tae Mu. He asks her to marry him.",#58
Misaeng,"Oct 17, 2014 - Dec 20, 2014",2014,tvN," Friday, Saturday",20,80,8.7,"Friendship,  Business,  Life,  Drama ",Kim Won Suk,"Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung",#59
Strong Woman Do Bong Soon,"Feb 24, 2017 - Apr 15, 2017",2017,jTBC," Friday, Saturday",16,67,8.7,"Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ",Lee Hyung Min,"Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung",#60
The Fiery Priest,"Feb 15, 2019 - Apr 20, 2019",2019,SBS," Friday, Saturday",40,35,8.7,"Action,  Mystery,  Comedy,  Crime ",Lee Myung Woo,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo",#61
My Name,15-Oct-21,2021,Netflix,Friday,8,50,8.7,"Action,  Thriller,  Crime ",Kim Jin Min,"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool",#62
Hotel del Luna,"Jul 13, 2019 - Sep  1, 2019",2019,tvN," Saturday, Sunday",16,80,8.7,"Horror,  Comedy,  Romance,  Fantasy ",Oh Choong Hwan,"IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul",#63
Hot Stove League,"Dec 13, 2019 - Feb 14, 2020",2019,SBS," Friday, Saturday",16,62,8.7,"Drama,  Sports,  Melodrama ",Jung Dong Yoon,"Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun",#64
Dr. Romantic,"Nov  7, 2016 - Jan 16, 2017",2016,SBS," Monday, Tuesday",20,60,8.7,"Romance,  Drama,  Medical ","Yoo In Shik, Park Soo Jin","Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin",#65
Descendants of the Sun,"Feb 24, 2016 - Apr 14, 2016",2016,KBS2," Wednesday, Thursday",16,60,8.7,"Action,  Comedy,  Romance,  Melodrama ","Baek Sang Hoon, Lee Eung Bok","Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Jun, Seo Jung Yeon",#66
Law School,"Apr 14, 2021 - Jun  9, 2021",2021,"jTBC,  Netflix "," Wednesday, Thursday",16,65,8.7,"Mystery,  Law,  Crime,  Drama ",Kim Seok Yoon,"Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, Lee David",#67
Strangers from Hell,"Aug 31, 2019 - Oct  6, 2019",2019,OCN," Saturday, Sunday",10,60,8.7,"Thriller,  Horror,  Psychological,  Drama ",Lee Chang Hee,"Im Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok",#68
Live,"Mar 10, 2018 - May  6, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",18,75,8.7,"Friendship,  Comedy,  Romance,  Crime ","Kim Kyu Tae, Myung Hyun Woo","Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung",#69
Tunnel,"Mar 25, 2017 - May 21, 2017",2017,OCN," Saturday, Sunday",16,60,8.7,"Thriller,  Mystery,  Sci-Fi,  Fantasy ","Nam Ki Hoon, Shin Yong Hwi","Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young",#70
My Liberation Notes,"Apr 9, 2022 - May 29, 2022",2022,"jTBC, Netflix","Saturday, Sunday",16,67,8.6,"Romance, Life, Drama, Melodrama",Kim Seok Yoon,"Kim Ji Won, Lee Min Ki, Son Seok Koo, Lee El, Lee Ki Woo, Chun Ho Jin",#71
Partners for Justice 2,"Jun  3, 2019 - Jul 29, 2019",2019,MBC," Monday, Tuesday",32,35,8.6,"Mystery,  Law,  Drama,  Medical ","Noh Do Cheol, Han Jin Sun","Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu",#72
Jewel in the Palace,"Sep 15, 2003 - Mar 23, 2004",2003,MBC," Monday, Tuesday",54,65,8.6,"Food,  Historical,  Romance,  Medical ",Lee Byung Hoon,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri",#73
"It's Okay, That's Love","Jul 23, 2014 - Sep 11, 2014",2014,SBS," Wednesday, Thursday",16,60,8.6,"Psychological,  Comedy,  Romance,  Drama ",Kim Kyu Tae,"Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung",#74
Little Women,"Sep 3, 2022 - Oct 9, 2022",2022,"Netflix, tvN","Saturday, Sunday",12,75,8.6,"Action, Thriller, Mystery, Drama",Kim Hee Won,"Kim Go Eun, Nam Ji Hyun, Park Ji Hoo, Wi Ha Joon, Uhm Ki Joon, Uhm Ji Won",#75
Ghost Doctor,"Jan 3, 2022 - Feb 22, 2022",2022,tvN,"Monday, Tuesday",16,70,8.6,"Comedy, Medical, Fantasy, Supernatural",Boo Sung Chul,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho",#76
Eulachacha Waikiki,"Feb  5, 2018 - Apr 17, 2018",2018,jTBC," Monday, Tuesday",20,65,8.6,"Comedy,  Life,  Youth,  Drama ",Lee Chang Min,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo",#77
The Bridal Mask,"May 30, 2012 - Sep  6, 2012",2012,KBS2," Wednesday, Thursday",28,65,8.6,"Action,  Historical,  Romance,  Political ","Yoon Sung Shik, Cha Young Hoon","Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin",#78
Children of Nobody,"Nov 21, 2018 - Jan 16, 2019",2018,MBC," Wednesday, Thursday",32,30,8.6,"Thriller,  Mystery,  Psychological,  Crime,  Drama ",Choi Jung Gyu,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee",#79
Good Manager,"Jan 25, 2017 - Mar 30, 2017",2017,KBS2," Wednesday, Thursday",20,60,8.6,"Business,  Comedy,  Crime,  Drama ","Lee Jae Hoon, Choi Yoon Seok","Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",#80
The King of Pigs,"Mar 18, 2022 - Apr 22, 2022",2022,tvN,Friday,12,55,8.6,"Thriller, Mystery, Drama",Kim Dae Jin,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo",#81
Big Mouth,"Jul 29, 2022 - Sep 17, 2022",2022,"Hulu, MBC","Friday, Saturday",16,71,8.6,"Thriller, Mystery, Law, Drama","Oh Choong Hwan, Bae Hyun Jin","Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon",#82
Go Back Couple,"Oct 13, 2017 - Nov 18, 2017",2017,KBS2," Friday, Saturday",12,70,8.6,"Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ",Ha Byung Hoon,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol",#83
Empress Ki,"Oct 28, 2013 - Apr 29, 2014",2013,MBC," Monday, Tuesday",51,65,8.6,"Historical,  Romance,  Melodrama,  Political ","Han Hee, Lee Sung Joon","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",#84
My Father is Strange,"Mar  4, 2017 - Aug 27, 2017",2017,KBS2," Saturday, Sunday",52,66,8.6,"Comedy,  Romance,  Drama,  Family ",Lee Jae Sang,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",#85
Once Again,"Mar 28, 2020 - Sep 13, 2020",2020,KBS2," Saturday, Sunday",100,35,8.6,"Comedy,  Romance,  Drama,  Family ",Lee Jae Sang,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob",#86
Missing,"Aug 29, 2020 - Oct 11, 2020",2020,OCN," Saturday, Sunday",12,70,8.6,"Thriller,  Mystery,  Supernatural ",Min Yeon Hong,"Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",#87
Stranger 2,"Aug 15, 2020 - Oct  4, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,62,8.6,"Thriller,  Mystery,  Law,  Drama ",Park Hyun Suk,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah",#88
Designated Survivor,"Jul  1, 2019 - Aug 20, 2019",2019,"Netflix,  tvN "," Monday, Tuesday",16,70,8.6,"Thriller,  Mystery,  Drama,  Political ",Yoo Jong Sun,"Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",#89
