Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration (in mins),Rating,Genre,Director,Cast,Rank
One Spring Night,"May 22, 2019 - Jul 11, 2019",2019,"MBC, Netflix","Wednesday, Thursday",32,35,8.4,"Romance, Life, Drama, Melodrama",Ahn Pan Seok,"Jung Hae In, Han Ji Min, Kim Joon Han, Im Sung Eon, Joo Min Kyung, Song Seung Hwan",#183
Soundtrack #1,"Mar 23, 2022 - Apr 13, 2022",2022,Disney+,Wednesday,4,44,8.4,"Music, Romance",Kim Hee Won,"Park Hyung Sik, Han So Hee, Kim Joo Heon, Yoon Byung Hee, Park Min Jung, Park Hoon",#184
City Hunter,"May 25, 2011 - Jul 28, 2011",2011,SBS,"Wednesday, Thursday",20,70,8.4,"Action, Thriller, Crime",Jin Hyeok,"Lee Min Ho, Park Min Young, Lee Joon Hyuk, Kim Sang Joong, Hwang Sun Hee, Kim Mi Sook",#185
Class of Lies,"Jul 17, 2019 - Sep 5, 2019",2019,OCN,"Wednesday, Thursday",16,70,8.3,"Thriller, Mystery, Law, Youth","Sung Yong Il, Park Ji Hyun","Yoon Kyun Sang, Geum Sae Rok, Lee Jun Young, Choi Yoo Hwa, Choi Kyu Jin, Han So Eun",#186
100 Days My Prince,"Sep 10, 2018 - Oct 30, 2018",2018,tvN,"Monday, Tuesday",16,75,8.3,"Historical, Comedy, Romance, Drama","Lee Jong Jae, Nam Sung Woo","Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",#187
"At a Distance, Spring Is Green","Jun 14, 2021 - Jul 20, 2021",2021,"iQiyi, KBS2, Viki","Monday, Tuesday",12,63,8.3,"Romance, Life, Youth",Kim Jung Hyun,"Park Ji Hoon, Kang  Min Ah, Bae In Hyuk, Kwon Eun Bin, Choi Jung Woo, Woo Da Vi",#188
Lie After Lie,"Sep 4, 2020 - Oct 24, 2020",2020,Channel A,"Friday, Saturday",16,69,8.3,"Thriller, Romance, Melodrama",Kim Jung Kwon,"Lee Yoo Ri, Yeon Jung Hoon, Lee Il Hwa, Im Ju Eun, Go Na Hee, Kwon Hwa Woon",#189
The Sound of Magic,06-May-22,2022,Netflix,Friday,6,70,8.3,"Music, Psychological, Drama, Fantasy",Kim Seong Yoon,"Ji Chang Wook, Choi Sung Eun, Hwang In Youp, Oh So Hyun, Ji Hye Won, Hong Jung Min",#190
The Mysterious Class,"Nov 12, 2021 - Dec 31, 2021",2021,YouTube,Friday,8,20,8.3,"Mystery, Horror, Youth, Supernatural",Ha Han Me,"Choi Hyun Suk, Park Ji Hoon, Yoshi, Kim Jun Kyu, Mashiho, Yoon Jae Hyuk",#191
Good Doctor,"Aug 5, 2013 - Oct 8, 2013",2013,KBS2,"Monday, Tuesday",20,65,8.3,"Romance, Life, Drama, Medical","Kim Jin Woo, Ki Min Soo","Joo Won, Moon Chae Won, Joo Sang Wook, Kim Min Seo, Ha Kyu Won, Kim Hyun Soo",#192
"It's Okay, That's Friendship",05-Mar-21,2021,YouTube,Friday,1,20,8.3,"Comedy, Life",,"Choi Hyun Suk, Park Ji Hoon, Kim Jun Kyu, Yoshi, Mashiho, Yoon Jae Hyuk",#193
Rookie Cops,"Jan 26, 2022 - Mar 16, 2022",2022,Hulu,Wednesday,16,60,8.3,"Romance, Life, Youth, Drama ","Kim Byung Soo, Kim Jung Wook","Kang Daniel, Chae Soo Bin, Lee Shin Young, Park Yoo Na, Park Sung Joon, Min Do Hee",#194
True Beauty,"Dec 9, 2020 - Feb 4, 2021",2020,tvN,"Wednesday, Thursday",16,75,8.3,"Comedy, Romance, Youth, Drama",Kim Sang Hyub,"Moon Ga Young, Cha Eun Woo, Hwang In Youp, Park Yoo Na, Jang Hye Jin, Park Ho San",#195
Oh My Ghost,"Jul 3, 2015 - Aug 22, 2015",2015,tvN,"Friday, Saturday",16,60,8.3,"Thriller, Comedy, Romance, Supernatural",Yoo Je Won,"Park Bo Young, Kim Seul Gi, Jo Jung Suk, Im Joo Hwan, Kang Ki Young, Kwak Shi Yang",#196
God's Gift: 14 Days,"Mar 3, 2014 - Apr 22, 2014",2014,SBS,"Monday, Tuesday",16,65,8.3,"Thriller, Mystery, Drama, Supernatural",Lee Dong Hun,"Lee Bo Young, Cho Seung Woo, Kim Tae Woo, Kim Yoo Bin, Jung Gyu Woon, Kim Jin Hee",#197
The Sound of Your Heart,"Nov 7, 2016 - Nov 28, 2016",2016,Naver TV Cast,"Monday, Thursday",20,15,8.3,"Comedy, Life, Sitcom",Ha Byung Hoon,"Lee Kwang Soo, Kim Dae Myung, Jung So Min, Kim Byung Ok, Kim  Mi Kyung, Park Sang Hoon",#198
The Veil,"Sep 17, 2021 - Oct 23, 2021",2021,MBC,"Friday, Saturday",12,70,8.3,"Action, Thriller, Mystery, Crime",Kim Sung Yong,"Namkoong Min, Park Ha Sun, Kim Ji Eun, Jang Young Nam, Kim Jong Tae, Kim Do Hyun",#199
Graceful Family,"Aug 21, 2019 - Oct 17, 2019",2019,MBN,"Wednesday, Thursday",16,80,8.3,"Thriller, Mystery, Drama, Melodrama",Han Cheol Soo,"Im Soo Hyang, Lee Jang Woo, Bae Jong Ok, Lee Kyu Han, Kim Jin Woo, Jeon Jin Seo",#200
Gu Family Book,"Apr 8, 2013 - Jun 25, 2013",2013,MBC,"Monday, Tuesday",24,65,8.3,"Action, Historical, Romance, Fantasy ","Shin Woo Cheol, Kim Jung Hyun","Lee Seung Gi, Bae Suzy, Lee Sung Jae, Yoo Yeon Seok, Lee Yoo Bi, Sung Joon",#201
The Hymn of Death,"Nov 27, 2018 - Dec 4, 2018",2018,"Netflix, SBS","Monday, Tuesday",6,35,8.3,"Music, Historical, Romance, Melodrama",Park Soo Jin,"Lee Jong Suk, Shin Hye Sun, Park Seon Im, Lee Ji Hoon, Han Eun Seo, Kim Kang Hyun",#202
Jumong,"May 15, 2006 - Mar 6, 2007",2006,MBC,"Monday, Tuesday",81,70,8.3,"Adventure, Historical, Romance, Drama","Lee Joo Hwan, Kim Keun Hong","Song Il Gook, Han Hye Jin, Kim Seung Soo, Jeon Kwang Ryul, Oh Yeon Soo, Song Ji Hyo",#203
Vampire Prosecutor 2,"Sep 9, 2012 - Nov 18, 2012",2012,OCN,Sunday,11,65,8.3,"Action, Mystery, Drama, Supernatural",Yoo Seon Dong,"Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",#204
Ugly Alert,"May 20, 2013 - Nov 29, 2013",2013,SBS,"Monday, Tuesday, Wednesday, Thursday, Friday",133,35,8.3,"Business, Romance, Melodrama","Shin Yoon Sub, Min Yeon Hong","Im Joo Hwan, Kang So Ra, Kang  Byul, Choi  Tae Joon, Kim Seol Hyun, Shin So Yool",#205
Misty,"Feb 2, 2018 - Mar 24, 2018",2018,jTBC,"Friday, Saturday",16,70,8.3,"Thriller, Mystery, Romance, Melodrama",Mo Wan Il,"Kim Nam Joo, Ji Jin Hee, Jeon Hye Jin, Im Tae Kyung, Go Jun, Jin Ki Joo",#206
Voice 3: City of Accomplices,"May 11, 2019 - Jun 30, 2019",2019,OCN,"Saturday, Sunday",16,60,8.3,"Thriller, Mystery, Psychological, Crime",Nam Ki Hoon,"Lee  Ha Na, Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",#207
Confession,"Mar 23, 2019 - May 12, 2019",2019,tvN,"Saturday, Sunday",16,60,8.3,"Thriller, Mystery, Law, Drama","Kim Chul Gyu, Yoon Hyun Gi","Lee Jun Ho, Shin Hyun Bin, Yoo Jae Myung, Nam Ki Ae, Yoon Gyung Ho, Ryu Kyung Soo",#208
Again My Life,"Apr 8, 2022 - May 28, 2022",2022,"SBS, ViuTV","Friday, Saturday",16,65,8.3,"Mystery, Law, Drama, Fantasy","Han Cheol Soo, Kim Yong Min","Lee Joon Gi, Lee Kyung Young, Kim Ji Eun, Jung Sang Hoon, Choi Kwang, Hong Bi Ra",#209
Money Heist: Korea - Joint Economic Area - Part 1,24-Jun-22,2022,Netflix,Friday,6,70,8.3,"Action, Thriller, Mystery, Crime",Kim Hong Seon,"Yoo Ji Tae, Park Hae Soo, Jeon Jong Seo, Lee Won Jong, Kim Ji Hoon, Jang Yoon Ju",#210
